,index,Unnamed: 0,0,1
64,64,64,Как мне оформить кредит? ,16
65,65,65,Здравствуйте.Хотелось бы оставить заявку на получения кредита.Сегодня пришло предложение банка. ,16
66,66,66,"здравствуйте, я оствил онлайн заявку на телефонный звонок от вашего представителя для оформления кредита ",16
67,67,67,Как мне найти список ипотечных центров Московской области? ,30
68,68,68,"Нужен кредит на кредит, строительство ",20
69,69,69,Расскажите про он лайнер оформление кредита ,16
70,70,70,Мне пришло предложение взять кредит 124000 рублей .но если я официально нетрудоустроин . Могу ли я получить кредит ,52
71,71,71,Хочу взять потребительский кредит ,51
72,72,72,Здравствуй. Оформить кредит ,16
73,73,73,"Я подаю заявку на кредит для покупки автомабили , но мне приходит отказ ,на данный момент  я не чё не должен в чем причина  подскажите  ,помогите  ",72
74,74,74,Я хочу перевести деньги в долларах из России в Турцию  ,0
75,75,75,"Мне было одобрено предварительно, но когда оформляла кредит пришел отказ, я хотела узнать  по какой причине ",72
76,76,76,"Добрый день. Хотела бы узнать, могу ли я взять кредит в вашем банке на приобретение авто ",52
77,77,77,"Здравствуйте, я хочу взять ипотечный кредит в вашем банке на покупку готового жилья с помощью материнского капитала. Можете проконсультироваться меня? ",52
78,78,78,"Добрый вечер Алина!Интересует продукт :образовательный кредит с государственной поддержкой! Когда возобновят выдачу таких кредитов,ведь учебный год подходит к концу! ",63
79,79,79,"Здравствуйте Сергей,возможно взять кредит в сбербанке для погашения в другом банке ",20
80,80,80,"Здравствуйте! Подскажите, что делать если я отправила сообщение на 969 с запросом пин кода, а банкомата рядом нет.. не заблокируется ли моя карта? ",0
81,81,81,Здравствуйте я бы хотел бы узнать могу ли взят кредит ,51
82,82,82,"Добрый день. Заказали на сайте карту молодежную для сына, указали почту и отделение сб, но так и не дождались. Как можно уточнить?  ",35
83,83,83,Подскажите хочу взять кредит на 3 года 200000 ,20
84,84,84,"Здравствуйте.Подскажите пожалуйста,как можно оставить онлайн заявку на кредит? ",16
85,85,85,"Добрый день, я являюсь клиентом вашего банка, хотел бы взять кредит в размере 160 тысяч,  ",20
86,86,86,Здравствуйте.  Как узнать дошли деньги до получателя или нет. Я через кассу внесла деньги на карту ,37
87,87,87,Как можно узнать решение по заявке?  ,36
88,88,88,"Здравствуйте, подскажите могу ли я оформить кредит через интернет?  ",16
89,89,89,Меня интересует автокредит без первоначального взноса ,52
90,90,90,Здравствуйте!Можно узнать условия кридита и по каким критериям могут дать кредит? ,52
91,91,91,"Добрый вечер, могу ли я получить кредит на небольшую сумму денег для оплаты учебы, если планирую оплатить его в течении трех месяцев ,но в данный момент не работаю? ",52
92,92,92,"Здравствуйте! Скажите пожалуйста, есть ли какой то суточный лимит на снятие наличных с золотой кредитной карты вашего банка ",50
93,93,93,"Здравствуйте, я бы хотела проконсультироваться по поводу ипотечного кредита ",52
94,94,94,Добрый вечер!интересует оформление карты master card black edition? ,54
95,95,95,"На моей карте высвечивается минусовой баланс,что это значит? ",25
96,96,96,Здравствуйте я хотела бы взять кредитную карту ,16
97,97,97,Меня интересует получение кредитной карты ,46
98,98,98,Ну я не знаю мне почему то отказали в кредите хотя кредитная история у меня нормальная  ,72
99,99,99,"Добрый вечер! Скажите, могу ли я заказать карту онлайн? ",16
100,100,100,"Добрый день! У меня ипотечный кредит в банке. И сейчас мне нужно продлить страховку. Подскажите мне нужно предоставить пролонгирующую страховку в тоже отделение по ипотечному кредитованию, где  я оформляла кредит? или я могу предоставить ее в другое отделение по ипотечному кредитованию, которое мне более удобно? ",0
101,101,101,"Здравствуйте, Валерия! Как мне взять автокредит в вашем банке?  ",20
102,102,102,"Здравствуйте, у меня такой вопрос, можно ли снимать деньги с карты сбербанк которая сделана для молодёжи? ",50
103,103,103,ЗДРАВСТВУЙТЕ. ДА МНЕ НАДО РАССЧИТАТЬ КРЕДИТ НА СУММУ 350000 СРОКОМ НА 60 МЕС ,74
104,104,104,Хочу взять кредит на развитие хозяйства. ,20
105,105,105,Можно мне взять кредит на покупку машины  ,51
106,106,106,"Здравствуйте,  я могу взять кредит? ",52
107,107,107,"Я студент, мне нету еще 18 лет. Хочу оформить молодежную карту со своим стилем. Могу ли я ее оформить, если у мня уже есть действующая карта от Сбербанк. А так же могу ли я подключить PayWave? ",16
108,108,108,"Добрый день, подскажите, если при оплате картой в супермаркете, три раза был введен неверный пин, она сама разблокируется через сутки или нет? ",50
109,109,109,"Здравствуйте.хочу взять ипотеку,что для этого надо? ",52
110,110,110,"Здравствуйте Влада я хотела бы взять ипотеку, меня интересует проценты ",51
111,111,111,"Какова минимальная стоимость жилья, на которую выдаётся ипотечный кредит? ",51
112,112,112,Хочу узнать про кредит  ,20
113,113,113,"Мне было сообщение, что я могу взять кредит ",16
114,114,114,"Здравствуйте,  подскажите пытаюсь посчитать по ипотеке загородная недвижимость,  но минимальная сумма 1000000 пищет ",28
115,115,115,"Мне по СМС пришло спец.предложение, оно еще действует?! ",32
116,116,116,Здравствуйте хотелось бы узнать мы семья из 4 человек из них 2 несовершеннолетних детей мы имеем материнский сертификат официальный доход мужа 15т.р у меня есть неофициальный доход 40т. Одобрят ли нам ипотеку в 1000000р на покупку дома? ,52
117,117,117,"Нет,я нахожусь на сайте расчета кредита,где можно рассчитать кредит для обучения? ",74
118,118,118,Меня интересует кредит ,20
119,119,119,Хочу получить кредит ,20
120,120,120,Можно мне взять кредитную карту ,54
121,121,121,Как взять кридит онлаен магу через вас подать заявку ,16
122,122,122,У меня есть ипотека можно ли получить потребитель кий кредит ,51
123,123,123,возможна ли подача на кредит ,16
124,124,124,У меня списали с карты деньги ,33
125,125,125,Здравствуйте! Меня интересует образовательный кредит ,20
126,126,126,Скажите пожалуйста ипотека дается на каких условиях ,52
127,127,127,"Здравствуйте, у меня вопрос территориально я в Мордовии, а недвижимость в Санкт-Петербурге могу я здесь подать требуемые документы а по приезду подписать договор ",52
128,128,128,"дет ли действительна справка 2-ндфл, взятая в конце мая и предоставленная в банк в начале июня? Или же потребуют справку, взятую в июне? ",51
129,129,129,Здравствуйте скажите пожалуйста какие документы нужны для оформления потребительского кредита ,51
130,130,130,Я хочу оформить кредит ,20
131,131,131,"Хотела узнать насчёт кредита, если брать наличными не для крупного приобретения а примерно на 20000 тыс. р , на сколько месяцев даётся ",51
132,132,132,"Скажите пожалуйста,я могу у Вас оформить кредитную карту..Я являюсь Вашим клиентом,но не являюсь гражданином РФ.. ",54
133,133,133,"Здравствуйте, Меня интересует целевой кредит на строительство дома. ",51
134,134,134,Хочу оформить заявку на потребительский кредит на 150000 руб. Можно ли это сделать не посещая отделение сбербанка?  ,16
135,135,135,У меня кредитная карта 16000рублей истратила все не могу в след месяце всю сумму внести что будет? ,59
136,136,136,"здравствуйте,скажите пожалуйста,если брать ипотеку,какой  стаж работы должен быть у созаемщика? ",51
137,137,137,Узнать о процентных ставках если устроят взять кредит ,51
138,138,138,"Здравствуйте, у меня кредитная карта виза классик моментум. Есть возможность поменять ее на карту с бесконтактной оплатой? ",50
139,139,139,"Я оставляла заявку на кредит в сбербанк онлайн,4 мая ",44
140,140,140,"Здравствуйте!хочу взять кредит на кредит, строительство дома.какие надо документы?есть ли шанс что мне одобрят,? ",51
141,141,141, Взять кредит  ,20
142,142,142,"Я гражданин Армении, хотел бы взять у Вас карту. На данный момент нахожусь в Армении , возможно ли заказать доставку карты? ",16
143,143,143,Я хотел взять кредит ,20
144,144,144,Я хочу взять кредит ,20
145,145,145,Хочу оформить кредит ,16
146,146,146,Могу ли я оформить кредит в другом городе не по прописке или оформить карту кредитную ,51
147,147,147,Здравствуйте. Можно ли через смс перевести с карты сбербанка деньги на карту россельхозбанка?  ,29
148,148,148,"Меня интересует вопрос, даются ли кредиты на первое высшее образование? ",51
149,149,149,В каком банке в Москве я могу получить перевод колибри сегодня или завтра в воскресеньевоскресенье? Какой нибудь банк работает? ,30
150,150,150,Хочю приобрести кредит на покупку машины  ,51
151,151,151,Интересунт кредит на сумму 25000 р. На срок 3 месяца. Прд какой процент и какая сумма для погашения в месяц? ,51
152,152,152,"У Вас действует система льготного автокредитования, ее условия ",51
153,153,153,Хочу открыть сберегательный счет. Подскажите это будет как карта на которой деньги и с которой безпрепятственно можно снимать средства ,0
154,154,154,"здравствуйте!вопрос-могу ли я заказать дебетовую карту &amp, quot, momentum&amp, quot, ? ",54
155,155,155,"Здравствуйте,мне нужен кредит в размере 100000рублей ,я являюсь держателем зарплатный карты сбербанка!что мне для этого нужно? ",16
156,156,156,Меня интересует кредит до 300 т.рублей ,52
157,157,157,"Здравствуйте. Можно ли снизить &amp, quot, %&amp, quot,  по действующей ипотеке? Ипотечный кредит брал по 11.4% ",12
158,158,158,На какой срок можно взять 50000 руб. чтобы в месяц платить 2-2500 ,74
159,159,159,Как мне кредитную карту получить  ,53
160,160,160,"Здравствуйте!я хотела бы получить кредитную карту с периодом погашения 55 дней,но зарплату через ваш банк не получаю! ",16
161,161,161,Как зайти в личный кабинет?  ,8
162,162,162,Добрый день. Я гражданин Украины. Есть карта Вашего банка. Я могу получить у Вас кредит? ,51
163,163,163,Здравствуйте! Хочу взять кредит на сумму 600000 ,20
164,164,164,У вас есть вклады на 5 лет ,18
165,165,165,Здраствуйте хочу здесь оформить кредит не получается  ,68
166,166,166,"Подскажите, пожалуйста, как войти в личный кабинет, если не помню ни логина ни пароля. Хотела настроить автоплатежи. ",3
167,167,167,Как подать заявку? ,16
168,168,168,"Добрый день, Иван! Скажите пожалуйста могу ли я понизать процент по уже выплачиваемой ипотеке? ",12
169,169,169,Здравствуйте. Могу ли я у Вас узнать дадут ли мне кредит или надо идти в банк ? ,65
170,170,170,"Сколько стоит услуга &amp, quot,  Больше Сбербанк онлайн&amp, quot,  ? ",0
171,171,171,Скажите пожалуйста какие приимущества по картам Мастеркард Блэк  ,54
172,172,172,Могу ли я платить этой картой за рубежом? ,50
173,173,173,Нормально. Как взять кридит?  ,16
174,174,174,Могу ли я взять кредит  ,51
175,175,175,офор. кредит ,20
176,176,176,Есть ли ипотечные программы без предоставления справок о доходах под залог имеющегося жилья? ,20
177,177,177,"Здраствуйте , хотел бы взять кредит 70000 ",20
178,178,178,"Добрый день.Я хочу взять кредит по зарплате,как я могу узнать одобряет ли мне его и если да то какую сумму ",65
179,179,179,"Здравствуйте, Сегодня утром оплачивал в банкомате кредит в альфа банк по номеру счета, все указал верно, кроме номера кредитного договора, поступят ли на р/счет деньги в альфа баннк? ",0
180,180,180,Анна Вы можете выделиНет.ть кредит???. ,20
181,181,181,"Здравствуйте Елена,могу ли я получить кредит в сумме 1500000 ",52
182,182,182,Какие карты можно завести с 14 лет? ,19
183,183,183,"доброго времени Наталья,меня интересует кредит в размере 500000 руб. ",51
184,184,184,На счет кредита до 50000 я могу обратиться в банк ,20
185,185,185,Можно подать заявку на получение кредита ,16
186,186,186,"оформлял у вас ДЕБЕТОВУЮ МОЛОДЕЖНУЮ карту на вашем САЙТЕ, подавал заявку вчера в обед, когда она будет видна в сбербанке онлайн с статусом &amp, quot, Изготоваливается&amp, quot, ? ",0
187,187,187,Хочу взять кредит на преобретения жилья ,52
188,188,188,Хочу взять кредит 45000 ,20
189,189,189,Хочу оформить кредитную карту ,16
190,190,190,Какая процентная ставка может быть по потребительскому кредиту для физических лиц  ,51
191,191,191,Могу ли я взять кредитную карту? ,16
192,192,192,Хочу оформить кредит по специальному предложению ,16
193,193,193,Меня интересует кредит на рефинансирование  ,51
194,194,194,Яб хотела  узнать можно мне взять кредит чтоб закрыть 2 кредита и сплотить 1 у вас ,20
195,195,195,Хотел оформить кредитную карту до 300000 ,16
196,196,196,Хотела бы взять кредит ,20
197,197,197,Здравствуйте я бы хотел взять кредит ,20
198,198,198,Я хочу узнать по потребительскому кредиту могут ли мне одобрить 200000 тысяч если я официально не работаю ,52
199,199,199,забыл телефон на даче как мне войти в личный кабинет?  ,2
200,200,200,Интересует кредит на готовый дом без коммуникаций какая ставка ,52
201,201,201,Можно ли мне увеличить  лимит по моей кредитной карты ,10
202,202,202,при оформлении онлайн заявки в адресной строки дает ошибку у меня в собственности дом а не квартира и пишет ошибку ,7
203,203,203,"Здравствуйте, хотела узнать сделана ли моя карта,почему-то оповещение не приходит. ",35
204,204,204,Здравствуйте если я положу 600000 могу я ежемесячно снимать процент ,18
205,205,205,Здравствуйте! я могу оформить кредит онлайн!? ,16
206,206,206,"Доброе утро! Подскажите, как узнать статус заявки на кредит онлайн ",36
207,207,207,Хочу взять кредит ,20
208,208,208,"Здравствуйте! Подскажите, что нужно, чтобы перевести деньги в Грузию с карты сбербанк на карту  Грузии? ",58
209,209,209,"Как оформить через кредит, он-лайн банке потребительский кредит ",16
210,210,210,Подал заявку на кредит. Как узнать решение сбербанка? ,36
211,211,211,"Елена, добрый вечер. Подскажите какие процентные ставки сегодня есть у сбербанка  ",51
212,212,212,"Добрый вечер! Вопрос, возможно ли кредитную карту превратить в потреб.кредит с аннуитетными платежами? ",0
213,213,213,Здравствуйте) могу я оформить кредитную карту? ,54
214,214,214,"Анжелика здравствуйте, меня интересуют вся ленейка дебетовых карт. Пытаюсь найти интересную для себя . Расскажите о них ",19
215,215,215,"здравствуйте,где мне заказать справку отчета об оценке готовой недвижимости ",22
216,216,216,"Здравствуйте, Сюзанна. У меня есть кредит в Сьербанке. У меня очень неудобная для меня дата ежемесячного платежа. Есть ли возможность сдвинуть дату платежей на несколько дней вперед? ",12
217,217,217,Подскажите как позвонить в ваш колл центр из Донецка? ,21
218,218,218,"Добрый день! Меня интересует информация по поводу образовательного кредита с государственной поддержкой, а именно возобновится ли его выдача  в период поступления в этом году?  ",63
219,219,219,Хотел кредит получить  ,20
220,220,220,Хочу приобрести автомобиль в кредит ,20
221,221,221,Забыла пароль от сбербанка онлайн ,3
222,222,222,Здравствуйте. 17.05.2017 я подала он-лайн заявку на кредит. До настоящего времени она не рассмотрена. В какие сроки рассматривается заявка? Спасибо. ,44
223,223,223,"Здравствуйте, подскажите пожалуйста как привязать другой номер к карте и подключить мобильный банк ",17
224,224,224,Добрый вечер.через какое время можно сделать рефинансирование имеющего автокредита в сбербанке? ,52
225,225,225,Хотели бы взять ипотеку на строительство дома ,20
226,226,226,Я могу взять у вас кредит? ,52
227,227,227,Для граждан Украины возможен кредит ,51
228,228,228,"Здравствуйте! Я хотел бы узнать, есть ли у вас кредитные карты для 19 летних? ",54
229,229,229,Здравствуйте! В течении скольких дней можно получить карту в отделении? ,62
230,230,230,"Необходим кредит на кредит на строительство дома, как оформить без страховок и прочих переплат? ",16
231,231,231,Здравствуйте могу ли я узнать как перевести деньги с карты Сбербанк на карту открытие через смс 900 ,29
232,232,232,Как отправить заявку онлайн? ,16
233,233,233,У меня есть 2/3 дома и квартира. Какой вид кредита Вы мне посоветуете для покупки 1/3 дома у сына. ,20
234,234,234,"Здравствуйте,я из Молдовы и хочу сделать карту, нужен перевод паспорта или нет? ",16
235,235,235,"Здравствуйте. я хотела бы, если это возможно, когда я смогу вновь обратиться по вопросу ипотечного кредитования. дело в том что ранее уже обращались и был отказ, но сколько прошло времени не знаю ",60
236,236,236,Добрый день. Интересует место расположение образца справки о доходах для передачи ее с заявлением на кредит ,22
237,237,237,Я хочу сделать заявку на кредитную карту на 50000 тысяч рублей.как мне это сделать ,16
238,238,238,Хачю взять кредит. ,20
239,239,239,Не могу понять как оформить кредит  ,16
240,240,240,Я хочу рефенансировать кредит взятый в другом банке. ,52
241,241,241,Какова комиссия за перевод 50000 с карту на карту сбербанка ,50
242,242,242,"Возможно ли взять кредит, если я не работаю, сижу дома с детьми и получаю пособия ",52
243,243,243,"Хочу уточнить, если у меня уже есть кредит в сбербанке, я не смогу заполнить онлайн-заявку на еще один кредит через сбербанк-онлайн? ",64
244,244,244,Здраствуте хотел бы взять кредит ,20
245,245,245,"здравствуйте. Если нет официального трудоустройства, есть ли возможность получить потребительский кредит? ",51
246,246,246,Здравствуйте подскажите если я щас оставлю заявку на кредит она сегодня будет рассмотрена?  ,44
247,247,247,Есть возрастные ограничения на ипотечный кредит? ,51
248,248,248,"Здравствуйте, у меня вопрос по ипотечного кредита  ",51
249,249,249,У меня есть кредитная карта на100т р когда я её пополню на 100т р через сколько времени мне увеличат лимит ,10
250,250,250,"Добрый день. Скажите, как на вашем сайте оформить дебетную карту Мастер Кард? ",54
251,251,251,А что выгоднее потребительский или на покупку автомобиля ,52
252,252,252,Кредит мне надо получить на сумму 900000 тысяч рублей на стройку дом  ,20
253,253,253,Добрый день! Мне пришла смсо получении кредита на спец условиях ,32
254,254,254,Добрый вечер!скажите обязательно ли нужно отработать 6 месяц чтобы подать заявку? ,52
255,255,255,Я бы хотела взять кредит но у меня нет Российского гр. только вид на жительство (пока). Это возможно? ,51
256,256,256,Здравствуйте я хотела бы оформить кредитную карту и срочно ,16
257,257,257,Хотела бы оформить карту ,16
258,258,258,"Подскажите,пожалуйста,список документов на кредит наличными,в сумме 100000 руб. ",52
259,259,259,"Мне пришло сообщение, что индивидуальный дизайн моей карты был одобрен. Мне придёт оповещение что карту можно забрать из ближайшего отделения Сбербанка?  ",46
260,260,260,Добрый вечер Ольга!хотел бы взять кредит в размере 60000  ,20
261,261,261,Карты Моментум дебетовые новые можно получить ? ,54
262,262,262,"Здравствуйте,хотела бы узнать про кредит наличными без справок,какие нужны документы? ",51
263,263,263,Здравствуйте. Хотела бы попробовать оформить кредит ,20
264,264,264,Хотелось узнать возможность получить кредит на улучшение подсобного хозяйства  ,52
265,265,265,Я бы хотела узнать все о кредитах ,20
266,266,266,Могу ли я получить кредит ,52
267,267,267,Не получается подать онлайн заявку на потребительский кредит ,68
268,268,268,"Извини если я взял кредит на пять лет и оплатил его до окончания за два года вперёд мне страховку возвращают который у меня взяли на 400000 взяли 30 тыс страховки, мне вернут страховку если раньше времени оплачу или нет ",51
269,269,269,Мне бы хотелось взять в вашем банке кредит  ,52
270,270,270,"Здравствуйте, скажите пожалуйста, почему у меня в Сбарбанке Онлайн не высвечивается сберегательная книжка?? ",0
271,271,271,"Здравствуйте Анастасия! У меня к Вам вопрос как можно взять кредитную карту в сбербанке,какую сумму и какой процент будет каждый месяц по карте если я буду и снимать наличку и платить с карты? ",54
272,272,272,"Добрый день. Мне одобрен кредит, но в сообщении значится ставка от 12 до 20 % годовых. Так как узнать какая она? ",32
273,273,273,Хочу кредитную карту ,19
274,274,274,"Здраствуйте, на какой кредит я могу расчитивать? Вернее на какую сумму? ",20
275,275,275,Я хочу оставить заявку на кридитную карту ,16
276,276,276,Хочу взять ипотеку в 1000000 первоначальный взнос 40% как вы думаете одобрят мне его официально не работаю? ,51
277,277,277,"здравствуйте, на сайте оставвил заявку на выпуск карты, как узнать статус моей заявки? ",36
278,278,278,"Я хочу взять кредит как подать заявку через кредит, он-лайн ",16
279,279,279,могу ли я получить кредит на развитие подсобного хозяйства ,52
280,280,280,Хочу взять кредит на сумму от что тысяч рублей ,20
281,281,281,"Если нет специального предложения по кредитной карте с одобренным лимитом, то сколько будет стоит оформить эту карту ? ",46
282,282,282,"Здравствуйте, Мария!  Хочу узнать процентную ставку по кредиту для меня на сумму 100 000. Есть ли предложения?  ",51
283,283,283,Хотелось узнать про кредит ,51
284,284,284,Хочу взять кредит. ,20
285,285,285,"Добрый вечер! Подскажите, пожалуйста, сроки выдачи кредитной карты и как ее заказать?  ",43
286,286,286,"Добрый день. Могу ли я получить кредитную карту, не работая официально? ",16
287,287,287,А какой будет процент ,52
288,288,288,Хочу преобрести кредит в сумме от15000р и расчитать...есть кредитная карта вашего банка с  лемитом-50000р ,20
289,289,289,"Здравствуйте ,Ирина.для строителства дома возможно ли взять кредит,если официально не работаю? ",16
290,290,290,Могу ли взять кредит. ,52
